title,season,episode,color_list,subject
Black Waterfall,2,11,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']"
Mountain Waterfall,2,12,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']"
Final Grace,2,13,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Mountain Retreat,3,1,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'STRUCTURE', 'TREE', 'TREES']"
Blue Moon,3,2,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'MOON', 'NIGHT', 'OCEAN', 'PALM_TREES', 'TREE', 'TREES', 'WAVES']"
Bubbling Stream,3,3,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Winter Night,3,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Liquid Black', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Distant Hills,3,5,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'HILLS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']"
Covered Bridge,3,6,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BRIDGE', 'DECIDUOUS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']"
Quiet Inlet,3,7,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']"
Night Light,3,8,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLIFF', 'CLOUDS', 'CUMULUS', 'LIGHTHOUSE', 'NIGHT', 'OCEAN', 'STRUCTURE', 'WAVES']"
The Old Mill,3,9,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'MILL', 'RIVER', 'STRUCTURE', 'TREE', 'TREES']"
Campfire,3,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'FIRE', 'LAKE', 'PERSON', 'TREE', 'TREES']"
Rustic Barn,3,11,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'DECIDUOUS', 'FENCE', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']"
Hidden Lake,3,12,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']"
Peaceful Waters,3,13,"['Alizarin Crimson', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GUEST', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']"
Purple Splendor,4,1,"['Alizarin Crimson', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Tranquil Valley,4,2,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']"
Majestic Mountains,4,3,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Winter Sawscape,4,4,"['Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black', 'Prussian Blue', 'Titanium White']","['CABIN', 'CIRCLE_FRAME', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'FRAMED', 'GUEST', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Evening Seascape,4,5,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLIFF', 'CLOUDS', 'CONIFER', 'CUMULUS', 'OCEAN', 'ROCKS', 'TREE', 'TREES', 'WAVES']"
Warm Summer Day,4,6,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'LAKE', 'TREE', 'TREES']"
Cabin in the Woods,4,7,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']"
Wetlands,4,8,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']"
Cool Waters,4,9,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Quiet Woods,4,10,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'GRASS', 'RIVER', 'TREE', 'TREES']"
Northwest Majesty,4,11,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DIANE_ANDRE', 'GUEST', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Autumn Days,4,12,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'HILLS', 'LAKE', 'TREE', 'TREES']"
Mountain Challenge,4,13,"['Alizarin Crimson', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE']"
Mountain Waterfall,5,1,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']"
Twilight Meadow,5,2,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']"
Mountain Blossoms,5,3,"['Alizarin Crimson', 'Liquid Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White']","['CONIFER', 'FLOWERS', 'GUEST', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Winter Stillness,5,4,"['Alizarin Crimson', 'Burnt Umber', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'DECIDUOUS', 'LAKE', 'SNOW', 'TREE', 'TREES', 'WINTER']"
Quiet Pond,5,5,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']"
Ocean Sunrise,5,6,"['Alizarin Crimson', 'Indian Yellow', 'Liquid Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'GRASS', 'GUEST', 'OCEAN', 'SUN']"
Bubbling Brook,5,7,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Arizona Splendor,5,8,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE', 'TREES']"
Anatomy of a Wave,5,9,"['Alizarin Crimson', 'Cadmium Yellow', 'Liquid Clear', 'Phthalo Blue', 'Phthalo Green', 'Titanium White']","['GUEST', 'OCEAN', 'WAVES']"
The Windmill,5,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CLOUDS', 'DECIDUOUS', 'PATH', 'STRUCTURE', 'TREE', 'WINDMILL']"
Autumn Glory,5,11,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Indian Girl,5,12,"['Bright Red', 'Burnt Umber', 'Indian Yellow', 'Prussian Blue', 'Titanium White']","['GUEST', 'PORTRAIT']"
Meadow Stream,5,13,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CLOUDS', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']"
Blue River,6,1,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'GRASS', 'HILLS', 'RIVER', 'TREE', 'TREES']"
Nature's Edge,6,2,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CLOUDS', 'DECIDUOUS', 'FOG', 'GRASS', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']"
Morning Mist,6,3,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'FOG', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Whispering Stream,6,4,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Secluded Forest,6,5,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'RIVER', 'TREE', 'TREES']"
Snow Trail,6,6,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'SNOW', 'TREE', 'TREES']"
Arctic Beauty,6,7,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']"
Horizons West,6,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
High Chateau,6,9,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'ROCKS', 'TREE', 'TREES']"
Country Life,6,10,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CIRRUS', 'CLOUDS', 'FENCE', 'GRASS']"
Western Expanse,6,11,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'DECIDUOUS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE']"
Marshlands,6,12,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'DECIDUOUS', 'LAKE', 'TREE', 'TREES']"
Blaze of Color,6,13,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'HILLS', 'RIVER', 'TREE', 'TREES']"
Winter Cabin,7,1,"['Bright Red', 'Dark Sienna', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'DECIDUOUS', 'SNOW', 'STRUCTURE', 'TREE', 'WINTER']"
Secluded Lake,7,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'DECIDUOUS', 'GRASS', 'LAKE', 'ROCKS', 'TREE', 'TREES']"
