title,season,episode,color_list,subject,air_date,month
Brown Mountain,2,7,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","October 12, 1983",October
Reflections,2,8,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CIRRUS', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","October 19, 1983",October
Black and White Seascape,2,9,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CUMULUS', 'DECIDUOUS', 'OCEAN', 'ROCKS', 'SUN', 'TREE', 'TREES', 'WAVES']","October 26, 1983",October
Lazy River,2,10,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES']","November 2, 1983",November
Black Waterfall,2,11,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']","November 9, 1983",November
Mountain Waterfall,2,12,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']","November 16, 1983",November
Final Grace,2,13,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","November 23, 1983",November
Mountain Retreat,3,1,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'STRUCTURE', 'TREE', 'TREES']","January 4, 1984",January
Blue Moon,3,2,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'MOON', 'NIGHT', 'OCEAN', 'PALM_TREES', 'TREE', 'TREES', 'WAVES']","January 11, 1984",January
Bubbling Stream,3,3,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","January 18, 1984",January
Winter Night,3,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Liquid Black', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","January 25, 1984",January
Distant Hills,3,5,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'HILLS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","February 1, 1984",February
Covered Bridge,3,6,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BRIDGE', 'DECIDUOUS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","February 8, 1984",February
Quiet Inlet,3,7,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","February 15, 1984",February
Night Light,3,8,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLIFF', 'CLOUDS', 'CUMULUS', 'LIGHTHOUSE', 'NIGHT', 'OCEAN', 'STRUCTURE', 'WAVES']","February 22, 1984",February
The Old Mill,3,9,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'MILL', 'RIVER', 'STRUCTURE', 'TREE', 'TREES']","March 1, 1984",March
Campfire,3,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'FIRE', 'LAKE', 'PERSON', 'TREE', 'TREES']","March 8, 1984",March
Rustic Barn,3,11,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'DECIDUOUS', 'FENCE', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']","March 15, 1984",March
Hidden Lake,3,12,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","March 22, 1984",March
Peaceful Waters,3,13,"['Alizarin Crimson', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GUEST', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']","March 29, 1984",March
Purple Splendor,4,1,"['Alizarin Crimson', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","September 5, 1984",September
Tranquil Valley,4,2,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","September 12, 1984",September
Majestic Mountains,4,3,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","September 19, 1984",September
Winter Sawscape,4,4,"['Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black', 'Prussian Blue', 'Titanium White']","['CABIN', 'CIRCLE_FRAME', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'FRAMED', 'GUEST', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","September 26, 1984",September
Evening Seascape,4,5,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLIFF', 'CLOUDS', 'CONIFER', 'CUMULUS', 'OCEAN', 'ROCKS', 'TREE', 'TREES', 'WAVES']","October 3, 1984",October
Warm Summer Day,4,6,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'LAKE', 'TREE', 'TREES']","October 10, 1984",October
Cabin in the Woods,4,7,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","October 17, 1984",October
Wetlands,4,8,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']","October 24, 1984",October
Cool Waters,4,9,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","October 31, 1984",October
Quiet Woods,4,10,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'GRASS', 'RIVER', 'TREE', 'TREES']","November 7, 1984",November
Northwest Majesty,4,11,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DIANE_ANDRE', 'GUEST', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","November 14, 1984",November
Autumn Days,4,12,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'HILLS', 'LAKE', 'TREE', 'TREES']","November 21, 1984",November
Mountain Challenge,4,13,"['Alizarin Crimson', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE']","November 28, 1984",November
Mountain Waterfall,5,1,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']","January 2, 1985",January
Twilight Meadow,5,2,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']","January 9, 1985",January
Mountain Blossoms,5,3,"['Alizarin Crimson', 'Liquid Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White']","['CONIFER', 'FLOWERS', 'GUEST', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","January 16, 1985",January
Winter Stillness,5,4,"['Alizarin Crimson', 'Burnt Umber', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'DECIDUOUS', 'LAKE', 'SNOW', 'TREE', 'TREES', 'WINTER']","January 23, 1985",January
Quiet Pond,5,5,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']","January 30, 1985",January
Ocean Sunrise,5,6,"['Alizarin Crimson', 'Indian Yellow', 'Liquid Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'GRASS', 'GUEST', 'OCEAN', 'SUN']","February 6, 1985",February
Bubbling Brook,5,7,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","February 13, 1985",February
Arizona Splendor,5,8,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE', 'TREES']","February 20, 1985",February
Anatomy of a Wave,5,9,"['Alizarin Crimson', 'Cadmium Yellow', 'Liquid Clear', 'Phthalo Blue', 'Phthalo Green', 'Titanium White']","['GUEST', 'OCEAN', 'WAVES']","February 27, 1985",February
The Windmill,5,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CLOUDS', 'DECIDUOUS', 'PATH', 'STRUCTURE', 'TREE', 'WINDMILL']","March 6, 1985",March
Autumn Glory,5,11,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","March 13, 1985",March
Indian Girl,5,12,"['Bright Red', 'Burnt Umber', 'Indian Yellow', 'Prussian Blue', 'Titanium White']","['GUEST', 'PORTRAIT']","March 20, 1985",March
Meadow Stream,5,13,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CLOUDS', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']","March 27, 1985",March
Blue River,6,1,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'GRASS', 'HILLS', 'RIVER', 'TREE', 'TREES']","May 1, 1985",May
Nature's Edge,6,2,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CLOUDS', 'DECIDUOUS', 'FOG', 'GRASS', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']","May 8, 1985",May
Morning Mist,6,3,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'FOG', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","May 15, 1985",May
Whispering Stream,6,4,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","May 22, 1985",May
Secluded Forest,6,5,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'RIVER', 'TREE', 'TREES']","May 29, 1985",May
Snow Trail,6,6,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'SNOW', 'TREE', 'TREES']","June 5, 1985",June
Arctic Beauty,6,7,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']","June 12, 1985",June
Horizons West,6,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","June 19, 1985",June
High Chateau,6,9,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'ROCKS', 'TREE', 'TREES']","June 26, 1985",June
Country Life,6,10,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CIRRUS', 'CLOUDS', 'FENCE', 'GRASS']","July 2, 1985",July
Western Expanse,6,11,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'DECIDUOUS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE']","July 9, 1985",July
